Gene	count_concord	unique_hg38	unique_hg19
ANKK1	131	0	0
ANKLE1	98	0	0
ANKLE2	115	0	0
ANKMY1	181	0	0
ANKMY2	94	0	0
ANKRA2	27	0	0
ANKRD1	53	0	0
ANKRD10	49	0	0
ANKRD11	252	0	0
ANKRD12	120	0	0
ANKRD13A	57	0	0
ANKRD13B	73	0	0
ANKRD13C	49	0	0
ANKRD13D	49	0	0
ANKRD16	47	0	0
ANKRD17	175	0	1
ANKRD18A	141	0	0
ANKRD18B	142	0	0
ANKRD18CP	33	0	0
ANKRD2	59	0	0
ANKRD20A1	8	31	31
ANKRD20A5P	21	0	0
ANKRD22	32	0	0
ANKRD23	41	0	0
ANKRD24	163	0	0
ANKRD26	210	0	0
ANKRD27	183	0	0
ANKRD28	142	0	0
ANKRD29	46	0	0
ANKRD30A	288	0	0
ANKRD30B	235	0	1
ANKRD30BL	41	0	0
ANKRD33	68	0	0
ANKRD34A	23	0	0
ANKRD34B	29	0	0
ANKRD34C	85	0	0
ANKRD34C-AS1	8	0	0
ANKRD35	106	2	2
ANKRD36	31	0	1
ANKRD36B	94	0	0
ANKRD36BP1	10	0	0
ANKRD37	26	0	0
ANKRD39	22	0	0
ANKRD40	26	0	0
ANKRD42	44	0	0
ANKRD44	163	0	0
ANKRD45	29	0	0
ANKRD46	20	0	0
ANKRD49	8	0	0
ANKRD50	54	0	0
ANKRD52	111	0	0
ANKRD53	73	0	0
ANKRD54	46	0	0
ANKRD55	90	0	0
ANKRD6	100	0	0
ANKRD60	34	0	0
ANKRD61	36	0	0
ANKRD62	29	0	0
ANKRD65	40	0	0
ANKRD66	25	0	0
ANKRD7	47	0	0
ANKRD9	3	0	0
ANKS1A	154	0	0
ANKS1B	119	0	0
ANKS3	157	0	0
ANKS4B	31	0	0
ANKS6	139	0	0
ANKUB1	69	0	0
ANKZF1	82	0	0
ANLN	148	0	0
ANO1	207	0	0
ANO10	84	0	0
ANO2	153	0	0
ANO3	149	0	0
ANO4	110	0	0
ANO5	114	0	0
ANO6	138	0	0
ANO7	221	0	0
ANO8	119	0	0
ANO9	158	0	0
ANP32A	30	0	0
ANP32B	41	0	0
ANP32C	21	0	0
ANP32D	12	0	0
ANP32E	33	2	4
ANPEP	176	0	0
ANTXR1	140	0	0
ANTXR2	70	0	0
ANTXRL	0	28	0
ANXA1	57	0	0
ANXA10	51	0	0
ANXA11	91	0	0
ANXA13	84	0	0
ANXA2	88	0	0
ANXA2P2	53	0	0
ANXA2R	8	0	0
ANXA3	60	0	0
ANXA4	52	0	0
ANXA5	60	0	0
ANXA6	150	0	0
ANXA7	62	0	0
ANXA8	0	80	21
ANXA8L1	18	20	94
ANXA9	65	0	0
AOAH	131	0	1
AOC1	55	0	0
AOC2	74	0	0
AOC3	60	0	0
AOX1	191	0	0
AOX3P-AOX2P	10	0	0
AP1AR	42	0	0
AP1B1	132	0	0
AP1G1	109	0	0
AP1G2	43	0	0
AP1M1	77	0	0
AP1M2	75	0	0
AP1S1	43	0	0
AP1S3	40	0	0
AP2A1	131	0	0
AP2A2	186	0	0
AP2B1	101	0	0
AP2M1	47	0	0
AP2S1	28	0	0
AP3B1	135	0	0
AP3B2	41	0	0
AP3D1	304	0	0
AP3M1	41	0	0
AP3M2	35	0	0
AP3S1	39	0	0
AP3S2	26	0	0
AP4B1	48	0	0
AP4B1-AS1	96	0	0
AP4E1	114	0	0
AP4M1	81	0	0
AP4S1	40	0	0
AP5B1	58	0	0
AP5M1	34	0	0
AP5S1	21	0	0
AP5Z1	296	0	0
APAF1	139	0	0
APBA1	81	0	0
APBA2	95	0	0
APBA3	70	0	0
APBB1	74	0	0
APBB1IP	56	0	0
APBB2	99	0	0
APBB3	73	0	0
APC	170	0	0
APC2	213	0	0
APCDD1	66	0	0
APCDD1L	62	0	0
APCS	11	0	0
APEH	78	0	0
APEX1	25	0	0
APH1A	20	0	0
APH1B	48	0	0
API5	38	0	0
APIP	55	0	0
APLF	77	0	0
APLNR	43	0	0
APLP1	77	0	0
APLP2	120	0	0
APMAP	93	0	0
APOA1	20	0	0
APOA1-AS	29	0	0
APOA2	16	0	0
APOA4	58	0	0
APOA5	35	0	0
APOB	352	0	0
APOBEC1	31	0	0
APOBEC2	17	0	0
APOBEC3A	39	0	0
APOBEC3B	87	0	0
APOBEC3B-AS1	19	0	0
APOBEC3C	35	0	0
APOBEC3D	61	0	0
APOBEC3F	61	0	0
